name,fight_record,nickname,Height,Weight,Reach,STANCE,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.,timestamp
Melissa Martinez,7-1-0,Super Mely,"5'2""",115lbs.,"66""",Southpaw,"Aug18,1997",3.0,57%,2.53,45%,1.0,50%,0%,0.0,2023-09-20 21:50:56.958211
Wagner da Conceicao Martins,9-8-0 (1 NC),Zuluzinho,"6'7""",390lbs.,--,Orthodox,"May19,1978",1.91,37%,5.43,42%,2.2,100%,100%,0.0,2023-09-20 21:50:56.958211
Adriano Martins,28-9-0,,"5'10""",155lbs.,"72""",Southpaw,"Dec16,1982",1.8,38%,2.14,65%,0.83,80%,81%,0.4,2023-09-20 21:50:56.958211
Lucas Martins,19-3-0,Mineiro,"6'0""",145lbs.,"72""",Southpaw,"Nov11,1988",2.87,35%,4.14,60%,0.0,0%,76%,0.5,2023-09-20 21:50:56.958211
Max Martyniouk,1-1-0,Payne,--,155lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Bristol Marunde,16-10-0,,"6'1""",170lbs.,"75""",Orthodox,"Apr20,1982",1.42,21%,4.4,47%,1.6,33%,14%,0.0,2023-09-20 21:50:56.958211
Shoji Maruyama,12-9-1,,"5'7""",139lbs.,--,Orthodox,"Apr24,1983",1.4,63%,0.27,55%,0.0,0%,54%,0.0,2023-09-20 21:50:56.958211
Kazuma Maruyama,11-7-0,Gluttony,"5'11""",155lbs.,"72""",Orthodox,"Jul19,1992",3.83,41%,2.23,53%,4.79,33%,100%,0.0,2023-09-20 21:50:56.958211
Mike Massenzio,13-9-0,The Master of Disaster,"6'2""",185lbs.,"73""",Southpaw,"Nov01,1982",2.08,45%,3.59,54%,2.74,24%,50%,1.4,2023-09-20 21:50:56.958211
Jameel Massouh,26-9-0,,"5'10""",145lbs.,"72""",Orthodox,"Sep12,1984",1.91,54%,2.62,55%,0.67,15%,50%,0.7,2023-09-20 21:50:56.958211
Tiffany Masters,2-1-0,Rainbow Renegade,"5'3""",115lbs.,"65""",Orthodox,"Jul31,1994",3.53,62%,2.58,50%,3.06,60%,0%,0.0,2023-09-20 21:50:56.958211
Jorge Masvidal,35-17-0,Gamebred,"5'11""",170lbs.,"74""",Orthodox,"Nov12,1984",4.05,47%,3.05,64%,1.38,59%,72%,0.3,2023-09-20 21:50:56.958211
Al Matavao,8-3-0,Sweetness,"5'8""",205lbs.,"67""",Orthodox,"Feb23,1994",7.84,46%,6.7,58%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Eduardo Matias Torres,16-1-0,Cyborg,--,135lbs.,--,,"Apr26,1995",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Tateki Matsuda,13-8-0,Tech,"5'7""",125lbs.,--,Orthodox,"Feb27,1986",3.2,34%,3.43,69%,0.0,0%,16%,0.0,2023-09-20 21:50:56.958211
Daijiro Matsui,13-29-7,,"5'9""",200lbs.,--,Orthodox,"Dec05,1972",0.84,45%,1.69,55%,1.83,30%,43%,0.4,2023-09-20 21:50:56.958211
Koichiro Matsumoto,15-3-1,,"5'7""",145lbs.,--,,"Mar07,1986",1.9,26%,3.5,31%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Jean Matsumoto,14-0-0,,"5'6""",135lbs.,"68""",Orthodox,"Sep09,1999",6.67,36%,6.6,49%,0.0,0%,66%,0.0,2023-09-20 21:50:56.958211
Koyomi Matsushima,13-6-0,,"5'7""",145lbs.,"66""",Orthodox,"Oct08,1992",2.7,47%,2.83,59%,9.0,52%,33%,0.0,2023-09-20 21:50:56.958211
Naoki Matsushita,12-16-11,,"5'6""",155lbs.,--,Orthodox,--,3.3,32%,2.2,63%,1.5,100%,0%,0.0,2023-09-20 21:50:56.958211
AJ Matthews,8-7-0,,"5'11""",185lbs.,--,,--,5.11,52%,4.96,51%,0.0,0%,100%,0.0,2023-09-20 21:50:56.958211
Jake Matthews,19-6-0,The Celtic Kid,"5'11""",170lbs.,"73""",Orthodox,"Aug19,1994",3.27,45%,2.33,60%,1.71,41%,61%,0.7,2023-09-20 21:50:56.958211
Connor Matthews,5-1-0,The Controller,"5'8""",145lbs.,--,Switch,"May31,1992",4.93,40%,7.33,52%,0.0,0%,40%,1.0,2023-09-20 21:50:56.958211
Claudio Mattos,5-4-0,Popeye,--,185lbs.,--,Orthodox,--,0.0,0%,3.53,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
John Matua,1-4-0,,"6'2""",400lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Francesco Maturi,0-1-0,,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Vladimir Matyushenko,27-8-0,The Janitor,"6'0""",205lbs.,"74""",Orthodox,"Jan04,1971",1.9,44%,1.62,59%,3.25,46%,70%,0.1,2023-09-20 21:50:56.958211
Miranda Maverick,14-5-0,Fear The,"5'3""",125lbs.,"65""",Southpaw,"Jul01,1997",3.71,46%,2.62,59%,2.41,48%,42%,0.5,2023-09-20 21:50:56.958211
Nick Maximov,8-2-0,,"6'0""",185lbs.,"76""",Southpaw,"Dec23,1997",1.93,45%,2.64,46%,4.16,45%,35%,0.2,2023-09-20 21:50:56.958211
Elaina Maxwell,7-4-0,Beef,"5'8""",145lbs.,--,Orthodox,"Dec16,1978",2.07,60%,2.4,53%,0.0,0%,50%,1.0,2023-09-20 21:50:56.958211
Jeremy May,13-10-0 (1 NC),,"6'1""",185lbs.,--,,"Oct23,1986",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Jack May,9-3-0,The Outlaw,"6'8""",255lbs.,--,Switch,"Apr14,1981",1.52,38%,3.29,33%,0.91,33%,20%,0.0,2023-09-20 21:50:56.958211
Don'Tale Mayes,10-5-0 (1 NC),Lord Kong,"6'6""",260lbs.,"81""",Orthodox,"Jan16,1992",3.39,43%,3.73,44%,0.89,46%,56%,0.0,2023-09-20 21:50:56.958211
Gray Maynard,13-7-1 (1 NC),,"5'9""",155lbs.,"70""",Orthodox,"May09,1979",1.92,32%,2.64,66%,2.91,47%,81%,0.7,2023-09-20 21:50:56.958211
Brooke Mayo,0-1-0,The Bully,"5'7""",125lbs.,--,,--,1.92,34%,3.2,63%,3.2,60%,0%,2.1,2023-09-20 21:50:56.958211
Gina Mazany,7-6-0,Danger,"5'6""",125lbs.,"68""",Southpaw,"Aug19,1988",3.73,50%,3.52,50%,4.34,52%,33%,0.2,2023-09-20 21:50:56.958211
Sabina Mazo,9-4-0,Colombian Queen,"5'7""",125lbs.,"70""",Orthodox,"Mar25,1997",6.1,43%,4.35,57%,0.65,80%,59%,0.2,2023-09-20 21:50:56.958211
Scott McAfee,14-7-0,,"5'8""",155lbs.,--,Orthodox,"Aug23,1983",0.0,0%,1.33,50%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Bobby McAndrews,1-3-0,,--,--,--,Orthodox,--,2.56,83%,1.03,50%,0.0,0%,33%,7.7,2023-09-20 21:50:56.958211
Michael McBride,8-3-0,,"6'1""",155lbs.,--,Orthodox,"Mar09,1986",4.08,48%,5.85,40%,1.85,42%,30%,1.2,2023-09-20 21:50:56.958211
Ian McCall,13-5-1,Uncle Creepy,"5'5""",125lbs.,"64""",Orthodox,"May07,1984",3.59,39%,3.25,67%,2.08,30%,88%,0.0,2023-09-20 21:50:56.958211
Molly McCann,13-6-0,Meatball,"5'4""",125lbs.,"62""",Orthodox,"May04,1990",5.68,49%,4.9,63%,1.65,35%,43%,0.5,2023-09-20 21:50:56.958211
Charles McCarthy,10-5-0,Chainsaw,"5'10""",185lbs.,"71""",Orthodox,"Aug06,1980",0.18,12%,4.03,56%,2.67,60%,0%,2.7,2023-09-20 21:50:56.958211
Sean McCorkle,17-7-0,,"6'7""",265lbs.,"81""",Orthodox,"Jul17,1976",0.85,44%,2.48,52%,2.12,40%,33%,4.2,2023-09-20 21:50:56.958211
Kris McCray,8-5-0,Savage,"6'0""",170lbs.,"76""",Orthodox,"Sep24,1981",2.69,45%,2.57,54%,2.88,55%,38%,0.0,2023-09-20 21:50:56.958211
Tamdan McCrory,14-5-0,The Barncat,"6'4""",185lbs.,"76""",Switch,"Nov05,1986",2.07,49%,1.6,46%,2.28,50%,33%,2.5,2023-09-20 21:50:56.958211
Rob McCullough,19-8-0,Razor,"5'9""",155lbs.,"69""",Orthodox,"May26,1977",2.47,36%,2.84,59%,0.46,100%,68%,0.0,2023-09-20 21:50:56.958211
Justin McCully,11-5-2,The Insane One,"6'1""",225lbs.,"73""",Orthodox,"Feb18,1976",1.58,37%,2.02,46%,1.28,44%,43%,0.0,2023-09-20 21:50:56.958211
Robert McDaniel,28-10-0,Bubba,"6'3""",185lbs.,"75""",Southpaw,"May03,1983",1.64,44%,1.98,56%,0.93,50%,50%,1.4,2023-09-20 21:50:56.958211
Michael McDonald,1-1-0,The Black Sniper,"5'11""",205lbs.,--,Orthodox,"Feb06,1965",0.0,0%,0.4,50%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Scott McDonald,1-0-0,,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Michael McDonald,17-4-0,Mayday,"5'9""",135lbs.,"70""",Orthodox,"Jan15,1991",2.69,42%,2.76,57%,1.09,66%,52%,1.4,2023-09-20 21:50:56.958211
Josh McDonald,9-5-0 (1 NC),,--,185lbs.,--,,--,0.8,57%,3.4,33%,9.0,50%,0%,0.0,2023-09-20 21:50:56.958211
Miles McDonald,2-1-0,,"5'7""",115lbs.,--,,"Aug13,1991",5.1,45%,4.0,43%,0.0,0%,100%,1.0,2023-09-20 21:50:56.958211
Justin McElfresh,6-4-0,,"6'6""",205lbs.,--,Orthodox,"Jan04,1980",4.59,26%,12.79,41%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Drew McFedries,12-7-0,The Massacre,"6'0""",185lbs.,"72""",Southpaw,"Jul27,1978",5.13,51%,4.56,52%,1.42,100%,56%,0.7,2023-09-20 21:50:56.958211
Liam McGeary,12-2-0,,"6'6""",205lbs.,--,,"Oct04,1982",1.28,48%,1.92,50%,0.51,100%,0%,2.5,2023-09-20 21:50:56.958211
Gan McGee,13-5-0,The Giant,"6'10""",265lbs.,--,Orthodox,"Nov20,1976",2.2,29%,2.31,59%,0.65,25%,83%,0.0,2023-09-20 21:50:56.958211
Court McGee,22-12-0,The Crusher,"5'11""",170lbs.,"75""",Orthodox,"Dec12,1984",4.63,37%,3.68,60%,1.89,25%,69%,0.4,2023-09-20 21:50:56.958211
Marcus McGhee,8-1-0,The Maniac,"5'8""",135lbs.,"69""",Orthodox,"May07,1990",3.42,48%,1.81,77%,0.0,0%,100%,1.6,2023-09-20 21:50:56.958211
Ryan McGillivray,12-0-1,The Kid,"5'11""",170lbs.,--,,"Sep27,1986",1.27,20%,2.2,52%,0.0,0%,44%,0.0,2023-09-20 21:50:56.958211
Ryan McGivern,13-7-0,,"6'0""",185lbs.,--,Orthodox,"Jan17,1980",2.22,29%,2.22,57%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Jack McGlaughlin,1-4-0,,--,--,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Conor McGregor,22-6-0,The Notorious,"5'9""",155lbs.,"74""",Southpaw,"Jul14,1988",5.32,49%,4.66,54%,0.67,55%,66%,0.1,2023-09-20 21:50:56.958211
Greg McIntyre,6-4-0,,"5'10""",155lbs.,--,Orthodox,"Apr21,1980",0.79,30%,1.36,41%,5.09,50%,0%,0.0,2023-09-20 21:50:56.958211
Antonio McKee,29-6-2,Mandingo,"5'8""",155lbs.,--,Southpaw,"Mar12,1970",1.37,45%,0.74,74%,1.47,33%,57%,0.0,2023-09-20 21:50:56.958211
AJ McKee,8-0-0,Mercenary,"5'10""",145lbs.,--,,--,2.75,32%,0.92,80%,11.01,100%,100%,11.0,2023-09-20 21:50:56.958211
Rhys McKee,10-5-1,Skeletor,"6'2""",170lbs.,"78""",Orthodox,"Sep10,1995",6.06,48%,9.47,44%,0.0,0%,33%,0.0,2023-09-20 21:50:56.958211
Cory McKenna,8-2-0,Poppins,"5'3""",115lbs.,"58""",Orthodox,"Jul11,1999",3.01,40%,3.22,48%,2.04,56%,71%,0.5,2023-09-20 21:50:56.958211
Tim McKenzie,14-9-0,,"6'0""",185lbs.,"74""",Orthodox,"Jul21,1982",1.37,54%,2.96,44%,0.0,0%,28%,2.1,2023-09-20 21:50:56.958211
Cody McKenzie,16-10-0,,"6'0""",155lbs.,"72""",Switch,"Dec16,1987",1.74,34%,2.5,67%,2.5,25%,14%,2.5,2023-09-20 21:50:56.958211
Terrance McKinney,14-5-0,T. Wrecks,"5'10""",155lbs.,"73""",Switch,"Sep15,1994",4.03,51%,2.51,45%,3.56,36%,85%,1.0,2023-09-20 21:50:56.958211
Brian McLaughlin,6-2-0,,"5'9""",155lbs.,--,,"May12,1984",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Jason McLean,6-7-0,,"5'5""",145lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Garreth McLellan,13-6-0,Soldier Boy,"6'1""",185lbs.,"72""",Southpaw,"Sep01,1982",3.56,54%,2.94,45%,1.15,22%,34%,0.9,2023-09-20 21:50:56.958211
Sara McMann,13-6-0,,"5'6""",135lbs.,"66""",Orthodox,"Sep24,1980",2.26,46%,1.92,47%,4.38,65%,50%,0.5,2023-09-20 21:50:56.958211
James McSweeney,15-15-0,The Hammer,"6'4""",230lbs.,"77""",Switch,"Oct24,1980",3.94,55%,4.33,42%,0.52,33%,100%,1.1,2023-09-20 21:50:56.958211
Charles McTorry,3-0-0,,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Daniel McWilliams,15-37-0,The Animal,"6'1""",185lbs.,--,,--,3.36,77%,0.0,0%,0.0,0%,100%,21.6,2023-09-20 21:50:56.958211
Tim Means,32-15-1 (1 NC),The Dirty Bird,"6'2""",170lbs.,"75""",Orthodox,"Feb20,1984",4.93,47%,3.61,60%,1.21,44%,65%,0.2,2023-09-20 21:50:56.958211
Yancy Medeiros,15-8-0 (1 NC),,"5'10""",155lbs.,"75""",Orthodox,"Sep07,1987",4.36,37%,5.67,47%,0.33,50%,73%,0.7,2023-09-20 21:50:56.958211
Anistavio Medeiros,19-10-0,Gasparzinho,"5'6""",145lbs.,--,Orthodox,"May01,1988",3.64,44%,5.0,47%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Kaline Medeiros,8-5-0,The Dark Angel,"5'3""",115lbs.,--,,--,2.06,70%,0.29,83%,4.41,100%,0%,4.4,2023-09-20 21:50:56.958211
Marquel Mederos,7-1-0,,--,155lbs.,--,,"Nov30,1996",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Uros Medic,9-1-0,The Doctor,"6'1""",170lbs.,"71""",Southpaw,"Apr25,1993",6.97,61%,3.92,58%,0.53,100%,80%,0.0,2023-09-20 21:50:56.958211
Todd Medina,11-9-0 (1 NC),El Tiburon,"5'10""",193lbs.,--,Southpaw,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Jason Medina,21-15-1,,"5'9""",180lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Jose Medina,1-1-0,,--,205lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Emil Meek,9-5-1 (1 NC),Valhalla,"5'11""",170lbs.,"74""",Switch,"Aug20,1988",2.52,39%,2.53,38%,0.25,33%,47%,1.0,2023-09-20 21:50:56.958211
Sanford Alton Meeks,1-1-0,,"6'5""",265lbs.,"75""",Orthodox,"Apr05,1994",0.71,42%,4.47,38%,7.06,25%,0%,0.0,2023-09-20 21:50:56.958211
Gerald Meerschaert,35-17-0,GM3,"6'1""",185lbs.,"77""",Southpaw,"Dec18,1987",3.3,44%,3.5,53%,2.01,37%,34%,1.5,2023-09-20 21:50:56.958211
Frank Megallon,2-3-0,,"5'10""",185lbs.,--,Southpaw,--,1.14,21%,5.32,54%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Derrick Mehmen,19-9-0,Caveman,"6'4""",205lbs.,--,,"May30,1985",1.93,14%,4.53,48%,1.0,16%,0%,0.0,2023-09-20 21:50:56.958211
Miika Mehmet,3-5-0,,--,205lbs.,--,Orthodox,--,0.33,12%,7.29,24%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Jordan Mein,31-12-0,Young Gun,"6'0""",170lbs.,"73""",Orthodox,"Oct10,1989",3.35,44%,2.55,69%,1.56,58%,66%,0.2,2023-09-20 21:50:56.958211
Bryce Mejia,3-1-0,,"6'1""",170lbs.,--,,--,3.49,62%,6.98,50%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Brian Melancon,7-3-0,,"5'8""",170lbs.,--,Orthodox,"May28,1982",4.18,49%,3.64,64%,2.02,100%,66%,0.0,2023-09-20 21:50:56.958211
Brandon Melendez,25-25-0,The Murderer,"5'11""",155lbs.,--,Southpaw,"Mar24,1983",0.84,26%,0.56,63%,0.0,0%,25%,0.0,2023-09-20 21:50:56.958211
Gilbert Melendez,22-8-0,El Nino,"5'9""",145lbs.,"73""",Orthodox,"Apr12,1982",3.44,33%,2.53,63%,1.64,41%,71%,0.2,2023-09-20 21:50:56.958211
Nair Melikyan,11-0-0,Ahalkalakski,"5'6""",155lbs.,--,,"Aug08,1997",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Marcelo Mello,1-0-0,,"5'7""",170lbs.,--,Southpaw,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Fabio Mello,11-8-0,,"5'5""",155lbs.,--,Southpaw,--,0.86,35%,3.94,50%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Vanessa Melo,11-8-0,,"5'5""",135lbs.,"65""",Orthodox,"Mar27,1988",3.48,30%,6.13,59%,0.0,0%,71%,0.0,2023-09-20 21:50:56.958211
Antonio Mendes,18-13-0,Samurai,"6'3""",205lbs.,"77""",Southpaw,"Apr19,1981",1.34,47%,6.85,22%,2.51,50%,100%,0.0,2023-09-20 21:50:56.958211
Chad Mendes,18-5-0,Money,"5'6""",145lbs.,"66""",Orthodox,"May01,1985",2.78,49%,2.35,67%,4.13,55%,100%,0.3,2023-09-20 21:50:56.958211
Augusto Mendes,6-2-0,Tanquinho,"5'6""",135lbs.,"65""",Orthodox,"Mar03,1983",2.42,34%,3.91,56%,1.75,33%,80%,0.0,2023-09-20 21:50:56.958211
Eddie Mendez,8-3-1 (1 NC),,"5'10""",185lbs.,--,,"Jan16,1984",1.71,33%,3.43,11%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Mateus Mendonca,10-1-0,Bocao,"5'6""",125lbs.,"71""",Orthodox,"Jan17,1999",2.41,38%,6.27,29%,1.9,18%,40%,0.0,2023-09-20 21:50:56.958211
Luis Mendoza,0-1-0,,--,155lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Pietro Menga,13-0-0,,"5'7""",125lbs.,"68""",Southpaw,"Feb15,1988",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Alonzo Menifield,14-3-1,Atomic,"6'0""",205lbs.,"76""",Orthodox,"Oct18,1987",3.82,57%,3.09,52%,0.62,30%,75%,0.3,2023-09-20 21:50:56.958211
Ivan Menjivar,25-12-0,The Pride of El Salvador,"5'6""",145lbs.,"64""",Orthodox,"May30,1982",2.78,37%,2.76,65%,0.56,28%,38%,1.0,2023-09-20 21:50:56.958211
Dave Menne,45-17-2,The Warrior,"5'10""",170lbs.,--,Orthodox,"Jul29,1974",1.84,44%,1.99,42%,0.46,50%,57%,2.5,2023-09-20 21:50:56.958211
Steve Mensing,9-13-2 (1 NC),The Machine,"5'11""",185lbs.,--,Orthodox,"Dec06,1977",0.0,0%,9.51,42%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Buck Meredith,3-3-0,,"6'2""",185lbs.,--,,"May17,1982",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Adam Meredith,5-3-0,,"6'2""",170lbs.,--,,--,2.63,50%,2.11,55%,7.89,100%,100%,7.9,2023-09-20 21:50:56.958211
Nick Meregali,0-0-0,,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Joe Merritt,7-2-0,,"6'0""",170lbs.,--,Orthodox,"Mar07,1984",1.53,58%,0.73,66%,0.0,0%,68%,0.0,2023-09-20 21:50:56.958211
Jeremiah Metcalf,13-7-0,,"6'1""",185lbs.,--,Orthodox,--,1.74,59%,0.27,60%,4.02,66%,100%,2.0,2023-09-20 21:50:56.958211
Jonathan Meunier,8-1-0,District,"6'3""",170lbs.,--,Switch,"Aug04,1987",3.47,50%,1.43,69%,0.58,33%,58%,0.0,2023-09-20 21:50:56.958211
Yaotzin Meza,21-11-0 (1 NC),,"5'9""",145lbs.,"71""",Orthodox,"Feb04,1981",1.43,41%,1.62,64%,1.06,20%,18%,1.4,2023-09-20 21:50:56.958211
Guy Mezger,30-14-2,,"6'1""",200lbs.,--,Orthodox,"Jan01,1968",2.3,32%,1.36,72%,0.39,50%,88%,0.0,2023-09-20 21:50:56.958211
Brandon Michaels,4-14-0,,"5'9""",185lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Andreas Michailidis,13-6-0,The Spartan,"6'0""",170lbs.,"76""",Orthodox,"Jul18,1988",2.9,51%,3.57,44%,1.12,27%,50%,0.0,2023-09-20 21:50:56.958211
David Michaud,11-3-0,BullDawg,"5'9""",155lbs.,--,Orthodox,"Nov10,1988",3.25,43%,4.45,54%,2.53,58%,77%,0.7,2023-09-20 21:50:56.958211
Chris Mickle,30-21-2 (1 NC),,"5'9""",145lbs.,--,Orthodox,"Jul10,1983",3.03,27%,9.7,48%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Zachary Micklewright,15-3-0,,"6'0""",155lbs.,"74""",Southpaw,"Aug21,1976",5.56,53%,4.72,54%,0.7,12%,100%,0.0,2023-09-20 21:50:56.958211
Kristof Midoux,6-10-0,The Hurricane,"6'1""",220lbs.,--,Orthodox,"Jul30,1974",0.7,43%,2.89,49%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Keith Mielke,0-5-0,,"5'8""",185lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Chris Mierzwiak,5-3-0,,"6'1""",185lbs.,--,,"Feb14,1988",1.6,61%,1.73,48%,2.0,28%,0%,1.0,2023-09-20 21:50:56.958211
Gabriel Miglioli,9-9-0,Biel,"5'8""",170lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Bojan Mihajlovic,10-6-0,,"5'11""",205lbs.,"73""",Orthodox,"Mar30,1980",1.23,35%,5.95,47%,0.0,0%,33%,0.0,2023-09-20 21:50:56.958211
Billy Miles,2-2-0,The Kid,"5'10""",170lbs.,--,Orthodox,"Apr28,1978",0.0,0%,1.25,33%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Pat Miletich,29-7-2,The Croatian Sensation,"5'10""",170lbs.,--,Orthodox,"Mar09,1968",1.79,45%,1.66,63%,1.96,100%,54%,1.0,2023-09-20 21:50:56.958211
Curtis Millender,17-5-0,Curtious,"6'2""",170lbs.,"76""",Orthodox,"Dec01,1987",3.86,46%,2.95,61%,0.43,100%,57%,0.0,2023-09-20 21:50:56.958211
Phillip Miller,16-0-0,,"5'11""",185lbs.,--,Orthodox,"Feb20,1979",1.61,54%,1.93,50%,3.62,25%,100%,0.6,2023-09-20 21:50:56.958211
Jason Miller,23-10-0 (1 NC),Mayhem,"6'1""",185lbs.,--,Orthodox,"Dec24,1980",1.83,43%,2.3,49%,1.31,28%,43%,1.3,2023-09-20 21:50:56.958211
Dan Miller,14-8-0 (1 NC),,"6'1""",185lbs.,"74""",Orthodox,"Jun30,1981",2.03,36%,3.06,49%,1.67,54%,47%,1.8,2023-09-20 21:50:56.958211
Jim Miller,36-17-0 (1 NC),A-10,"5'8""",155lbs.,"71""",Southpaw,"Aug30,1983",2.86,41%,3.08,58%,1.56,43%,48%,1.8,2023-09-20 21:50:56.958211
Cole Miller,21-11-0 (1 NC),Magrinho,"6'1""",145lbs.,"73""",Orthodox,"Apr26,1984",3.0,33%,3.88,59%,0.6,36%,38%,1.8,2023-09-20 21:50:56.958211
Henry Miller,6-16-0 (1 NC),Sentoryu,"5'7""",270lbs.,--,Southpaw,"Jul16,1969",1.25,36%,2.16,54%,0.55,25%,60%,0.0,2023-09-20 21:50:56.958211
Micah Miller,20-8-0 (1 NC),Maverick,"6'0""",145lbs.,--,Orthodox,"Feb14,1987",1.33,33%,2.15,54%,0.98,37%,21%,2.0,2023-09-20 21:50:56.958211
Aaron Miller,14-10-0 (1 NC),Blood Spiller,"5'9""",145lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Mo Miller,6-0-0,Moshow,"5'8""",135lbs.,"72""",Orthodox,"Aug10,1992",1.87,45%,1.33,60%,4.0,80%,0%,0.0,2023-09-20 21:50:56.958211
Juliana Miller,4-3-0,Killer,"5'7""",125lbs.,"66""",Orthodox,"May07,1996",3.31,45%,4.75,32%,1.84,44%,0%,1.8,2023-09-20 21:50:56.958211
Eddy Millis,0-2-0,,"6'1""",185lbs.,--,,--,0.0,0%,3.36,22%,0.0,0%,0%,7.2,2023-09-20 21:50:56.958211
Che Mills,16-10-0 (3 NC),Beautiful,"6'1""",170lbs.,"76""",Orthodox,"Sep29,1982",2.08,52%,2.87,43%,1.18,66%,58%,0.0,2023-09-20 21:50:56.958211
Adam Milstead,8-4-0,The Prototype,"6'3""",205lbs.,"76""",Orthodox,"Jul03,1987",3.85,46%,4.79,43%,0.0,0%,64%,0.0,2023-09-20 21:50:56.958211
Alberto Mina,13-1-0,Soldier of God,"6'0""",170lbs.,"77""",Orthodox,"May02,1982",3.23,38%,3.7,47%,1.85,20%,50%,0.0,2023-09-20 21:50:56.958211
Vitaly Minakov,20-0-0,,"6'2""",249lbs.,--,,"Feb06,1985",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Darrick Minner,26-14-0,,"5'7""",145lbs.,"69""",Orthodox,"Apr28,1990",2.63,65%,2.28,35%,2.4,72%,66%,2.7,2023-09-20 21:50:56.958211
Mike Minniger,0-0-0,,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Ikuhisa Minowa,60-42-8,Minowaman,"5'9""",181lbs.,--,Orthodox,"Jan12,1976",0.88,40%,1.66,49%,1.82,41%,5%,1.9,2023-09-20 21:50:56.958211
Carlton Minus,10-3-0 (1 NC),Clutch,"5'10""",170lbs.,"75""",Orthodox,"Apr26,1993",3.5,40%,4.97,50%,0.0,0%,58%,0.0,2023-09-20 21:50:56.958211
Stipe Miocic,20-4-0,,"6'4""",240lbs.,"80""",Orthodox,"Aug19,1982",4.82,53%,3.82,54%,1.86,34%,68%,0.0,2023-09-20 21:50:56.958211
