name,fight_record,nickname,Height,Weight,Reach,STANCE,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.,timestamp
Derek Anderson,14-3-0 (1 NC),Barbaric,"6'0""",155lbs.,--,,"Feb02,1990",3.97,37%,3.08,61%,0.34,14%,60%,0.0,2023-09-20 21:50:56.958211
Megan Anderson,11-5-0,,"6'0""",145lbs.,"72""",Orthodox,"Feb11,1990",1.76,46%,3.35,37%,0.52,25%,53%,0.5,2023-09-20 21:50:56.958211
Tatsuya Ando,13-3-1,,--,135lbs.,--,,"Apr26,1990",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Alex Andrade,10-5-0,El Toro,"5'11""",200lbs.,--,Orthodox,"May14,1974",0.2,36%,2.6,53%,0.0,0%,25%,0.8,2023-09-20 21:50:56.958211
Jessica Andrade,24-12-0,Bate Estaca,"5'1""",115lbs.,"62""",Orthodox,"Sep25,1991",6.68,50%,5.34,54%,2.54,54%,70%,0.4,2023-09-20 21:50:56.958211
Viscardi Andrade,19-6-0,,"5'11""",170lbs.,"75""",Orthodox,"Mar08,1984",3.26,42%,2.77,63%,1.93,50%,66%,0.3,2023-09-20 21:50:56.958211
Jermaine Andre,14-4-0,,"5'7""",200lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Juan Andres Luna,12-1-0,,"5'7""",125lbs.,"72""",Orthodox,"Aug20,1995",3.27,31%,3.0,65%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Fellipe Andrew,0-0-0,,--,--,--,,"Oct24,1994",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Dylan Andrews,18-7-0 (1 NC),The Villain,"6'1""",185lbs.,"74""",Switch,"Nov15,1979",2.21,50%,2.72,46%,2.83,50%,57%,0.4,2023-09-20 21:50:56.958211
Reese Andy,7-3-0,Riptide,"6'0""",205lbs.,--,Orthodox,"Mar31,1973",2.87,50%,3.5,58%,0.67,20%,40%,0.0,2023-09-20 21:50:56.958211
Angga,13-3-0,The Hitman,"5'7""",145lbs.,"68""",Orthodox,"Jan13,1989",3.56,38%,3.77,53%,0.0,0%,33%,0.0,2023-09-20 21:50:56.958211
Julius Anglickas,5-1-0,,"6'3""",205lbs.,--,Orthodox,"Jul23,1991",4.62,78%,1.86,50%,4.47,50%,60%,1.1,2023-09-20 21:50:56.958211
Collin Anglin,8-3-0,,"5'9""",145lbs.,"71""",Orthodox,"Feb20,1993",4.59,48%,5.54,51%,2.28,66%,100%,0.0,2023-09-20 21:50:56.958211
Chad Anheliger,12-6-0,The Monster,"5'6""",135lbs.,"64""",Orthodox,"Dec01,1986",3.51,43%,3.31,55%,0.0,0%,47%,1.0,2023-09-20 21:50:56.958211
Yoji Anjo,0-5-1,Mr. 200%,"5'11""",205lbs.,--,Orthodox,"Mar28,1967",0.0,0%,3.13,25%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Magomed Ankalaev,18-1-1,,"6'3""",205lbs.,"75""",Orthodox,"Jun02,1992",3.55,52%,2.15,59%,0.99,29%,86%,0.0,2023-09-20 21:50:56.958211
Gadzhimurad Antigulov,20-8-0,,"5'11""",205lbs.,"70""",Orthodox,"Feb09,1987",2.08,55%,4.21,40%,5.08,36%,0%,1.4,2023-09-20 21:50:56.958211
Adam Antolin,12-3-0,Captain Chaos,"5'5""",125lbs.,"63""",Orthodox,"Feb28,1982",5.73,52%,5.0,69%,0.0,0%,100%,0.0,2023-09-20 21:50:56.958211
Angelo Antonio,1-4-0,,--,205lbs.,--,Orthodox,--,1.09,50%,7.64,50%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Azunna Anyanwu,14-5-0,Zulu,"6'1""",251lbs.,--,Orthodox,"Aug05,1981",2.47,42%,2.47,69%,0.65,100%,0%,0.0,2023-09-20 21:50:56.958211
Shinsho Anzai,10-3-0,Animal,"5'7""",170lbs.,"70""",Orthodox,"Dec01,1985",3.23,58%,3.75,45%,1.83,16%,75%,0.0,2023-09-20 21:50:56.958211
Shinya Aoki,39-7-0 (1 NC),Tobikan Judan,"5'11""",154lbs.,--,Southpaw,"May09,1983",0.97,58%,1.25,58%,2.54,41%,60%,4.0,2023-09-20 21:50:56.958211
