event_date,fighter1,fighter2,outcome,weight_class,fighter1_curr_height,fighter1_reach,fighter1_stance,fighter1_sig_strikes_landed_pm,fighter1_sig_strikes_accuracy,fighter1_sig_strikes_absorbed_pm,fighter1_sig_strikes_defended,fighter1_takedown_avg_per15m,fighter1_takedown_accuracy,fighter1_takedown_defence,fighter1_submission_avg_attempted_per15m,fighter1_age,fighter2_curr_height,fighter2_reach,fighter2_stance,fighter2_sig_strikes_landed_pm,fighter2_sig_strikes_accuracy,fighter2_sig_strikes_absorbed_pm,fighter2_sig_strikes_defended,fighter2_takedown_avg_per15m,fighter2_takedown_accuracy,fighter2_takedown_defence,fighter2_submission_avg_attempted_per15m,fighter2_age
2023-08-19,Sean O'Malley,Aljamain Sterling,fighter1,Bantamweight,180.34,182.88,Switch,7.25,0.61,3.51,0.61,0.43,0.42,0.62,0.4,29.0,170.18,180.34,Orthodox,4.73,0.52,2.41,0.58,1.97,0.24,0.45,0.8,34.0
2023-08-19,Amanda Lemos,Zhang Weili,fighter2,Women's Strawweight,162.56,165.1,Southpaw,3.54,0.55,4.66,0.42,0.82,0.55,0.55,0.8,36.0,162.56,160.02,Switch,5.94,0.51,3.44,0.53,2.29,0.42,0.66,0.4,34.0
2023-08-19,Ian Garry,Neil Magny,fighter1,Welterweight,190.5,187.96,Orthodox,6.67,0.56,3.58,0.53,0.67,0.75,0.69,0.0,26.0,190.5,203.2,Orthodox,3.45,0.46,2.4,0.53,2.22,0.4,0.55,0.3,36.0
2023-08-19,Mario Bautista,Da'Mon Blackshear,fighter1,Bantamweight,175.26,175.26,Switch,5.32,0.51,4.2,0.53,2.72,0.5,0.56,1.3,30.0,177.8,182.88,Switch,4.28,0.47,4.09,0.48,2.34,0.37,0.66,0.8,29.0
2023-08-19,Marlon Vera,Pedro Munhoz,fighter1,Bantamweight,172.72,177.8,Switch,4.37,0.5,5.16,0.51,0.58,0.39,0.7,0.9,31.0,167.64000000000001,165.1,Orthodox,5.45,0.43,6.14,0.56,0.47,0.19,0.82,0.5,37.0
2023-08-19,Chris Weidman,Brad Tavares,fighter2,Middleweight,187.96,198.12,Orthodox,2.98,0.43,3.27,0.5,3.6,0.43,0.65,0.8,39.0,185.42000000000002,187.96,Orthodox,3.38,0.43,3.03,0.56,0.81,0.26,0.82,0.0,36.0
2023-08-19,Gregory Rodrigues,Denis Tiuliulin,fighter1,Middleweight,190.5,190.5,Orthodox,5.99,0.55,5.67,0.51,2.4,0.5,1.0,0.5,31.0,185.42000000000002,195.58,Orthodox,5.04,0.41,5.83,0.4,0.0,0.0,0.69,0.0,35.0
2023-08-19,Kurt Holobaugh,Austin Hubbard,fighter1,Lightweight,180.34,177.8,Orthodox,4.89,0.44,4.44,0.48,0.87,0.36,0.5,1.1,37.0,177.8,180.34,Orthodox,3.83,0.46,3.37,0.56,1.55,0.52,0.63,0.0,32.0
2023-08-19,Brad Katona,Cody Gibson,fighter1,Bantamweight,167.64000000000001,162.56,Orthodox,4.8,0.51,4.57,0.5,1.0,0.2,0.5,0.0,32.0,177.8,180.34,Orthodox,4.75,0.45,4.73,0.55,1.35,0.35,0.64,0.3,36.0
2023-08-19,Andre Petroski,Gerald Meerschaert,fighter1,Middleweight,182.88,185.42000000000002,Switch,3.68,0.51,2.99,0.51,4.56,0.54,0.71,2.5,32.0,185.42000000000002,195.58,Southpaw,3.3,0.44,3.5,0.53,2.01,0.37,0.34,1.5,36.0
2023-08-19,Andrea Lee,Natalia Silva,fighter2,Women's Flyweight,167.64000000000001,175.26,Orthodox,4.91,0.47,3.69,0.63,1.84,0.57,0.54,0.6,34.0,162.56,165.1,Southpaw,5.2,0.48,2.23,0.65,0.68,0.33,0.92,0.0,26.0
2023-08-19,Karine Silva,Maryna Moroz,fighter1,Women's Flyweight,165.1,170.18,Orthodox,3.37,0.35,3.37,0.5,2.45,0.6,0.0,4.1,30.0,170.18,170.18,Orthodox,4.15,0.31,4.42,0.53,0.67,0.22,0.45,0.7,32.0
2023-08-12,Rafael Dos Anjos,Vicente Luque,fighter2,Welterweight,172.72,177.8,Southpaw,3.52,0.47,3.19,0.6,2.01,0.35,0.56,0.6,39.0,180.34,190.5,Orthodox,5.17,0.52,5.15,0.52,1.04,0.6,0.62,0.7,32.0
2023-08-12,Hakeem Dawodu,Cub Swanson,fighter2,Featherweight,172.72,185.42000000000002,Orthodox,5.45,0.5,3.37,0.56,0.0,0.0,0.65,0.0,32.0,172.72,177.8,Orthodox,4.7,0.5,3.84,0.59,1.09,0.52,0.61,0.4,40.0
2023-08-12,Khalil Rountree Jr.,Chris Daukaus,fighter1,Light Heavyweight,185.42000000000002,193.04,Southpaw,3.73,0.38,4.16,0.5,0.0,0.0,0.56,0.1,33.0,190.5,193.04,Orthodox,6.05,0.5,4.64,0.55,0.0,0.0,1.0,0.0,34.0
2023-08-12,Iasmin Lucindo,Polyana Viana,fighter1,Women's Strawweight,160.02,167.64000000000001,Orthodox,3.33,0.39,3.23,0.67,2.33,0.66,0.66,0.4,21.0,165.1,170.18,Orthodox,3.19,0.41,2.63,0.55,0.93,0.33,0.43,2.1,31.0
2023-08-12,Tafon Nchukwi,AJ Dobson,fighter2,Middleweight,182.88,195.58,Orthodox,5.57,0.52,4.11,0.54,0.76,0.57,0.64,0.0,29.0,185.42000000000002,193.04,Orthodox,4.38,0.47,5.25,0.47,1.82,0.75,0.64,0.3,31.0
2023-08-12,Josh Fremd,Jamie Pickett,fighter1,Middleweight,193.04,193.04,Orthodox,2.93,0.43,2.63,0.47,0.84,0.25,0.31,1.4,29.0,187.96,203.2,Orthodox,2.84,0.48,3.92,0.49,1.44,0.4,0.69,0.1,35.0
2023-08-12,Marcus McGhee,JP Buys,fighter1,Bantamweight,172.72,175.26,Orthodox,3.42,0.48,1.81,0.77,0.0,0.0,1.0,1.6,33.0,165.1,170.18,Orthodox,1.88,0.39,3.02,0.4,1.55,0.25,0.25,2.3,27.0
2023-08-12,Mike Breeden,Terrance McKinney,fighter2,Lightweight,177.8,177.8,Orthodox,5.22,0.42,7.02,0.41,1.37,0.33,0.62,0.0,34.0,177.8,185.42000000000002,Switch,4.03,0.51,2.51,0.45,3.56,0.36,0.85,1.0,29.0
2023-08-12,Francis Marshall,Isaac Dulgarian,fighter2,Featherweight,175.26,182.88,Orthodox,3.66,0.33,4.07,0.53,3.29,0.5,0.0,0.7,24.0,170.18,180.34,Orthodox,7.29,0.66,0.42,0.71,3.13,1.0,0.0,0.0,27.0
2023-08-12,Martin Buday,Josh Parisian,fighter1,Heavyweight,193.04,195.58,Orthodox,5.62,0.52,5.4,0.55,0.3,0.5,1.0,0.3,32.0,193.04,200.66,Orthodox,4.54,0.48,4.81,0.41,0.99,0.33,0.46,0.2,34.0
2023-08-12,Jaqueline Amorim,Montserrat Conejo Ruiz,fighter1,Women's Strawweight,160.02,172.72,Orthodox,3.42,0.52,1.81,0.62,1.57,0.23,0.0,3.7,28.0,152.4,154.94,Southpaw,0.82,0.28,4.24,0.42,2.56,0.83,0.66,1.0,30.0
2023-08-12,Jose Johnson,Da'Mon Blackshear,fighter2,Bantamweight,182.88,180.34,Orthodox,2.16,0.63,1.72,0.51,0.44,0.5,0.33,0.4,28.0,177.8,182.88,Switch,4.28,0.47,4.09,0.48,2.34,0.37,0.66,0.8,29.0
2023-08-12,Luana Santos,Juliana Miller,fighter1,Women's Flyweight,167.64000000000001,170.18,Orthodox,17.1,0.6,6.52,0.68,0.0,0.0,1.0,0.0,23.0,170.18,167.64000000000001,Orthodox,3.31,0.45,4.75,0.32,1.84,0.44,0.0,1.8,27.0
2023-08-05,Cory Sandhagen,Rob Font,fighter1,Catch Weight,180.34,177.8,Switch,5.33,0.44,3.4,0.58,1.36,0.33,0.64,0.3,31.0,172.72,180.34,Orthodox,5.71,0.45,3.7,0.57,0.96,0.37,0.46,0.4,36.0
2023-08-05,Jessica Andrade,Tatiana Suarez,fighter2,Women's Strawweight,154.94,157.48,Orthodox,6.68,0.5,5.34,0.54,2.54,0.54,0.7,0.4,32.0,165.1,167.64000000000001,Southpaw,4.27,0.63,1.38,0.51,6.2,0.61,1.0,0.9,33.0
2023-08-05,Kennedy Nzechukwu,Dustin Jacoby,fighter2,Light Heavyweight,195.58,210.82,Southpaw,4.86,0.46,4.27,0.51,0.68,0.5,0.8,0.3,31.0,190.5,193.04,Orthodox,5.46,0.46,4.02,0.59,0.4,0.25,0.6,0.0,35.0
2023-08-05,Diego Lopes,Gavin Tucker,fighter1,Featherweight,180.34,182.88,Orthodox,2.12,0.5,4.92,0.36,0.0,0.0,0.33,5.6,29.0,167.64000000000001,167.64000000000001,Southpaw,4.29,0.44,4.18,0.57,3.13,0.44,0.53,1.5,37.0
2023-08-05,Tanner Boser,Aleksa Camur,fighter1,Light Heavyweight,187.96,190.5,Orthodox,4.7,0.52,2.75,0.58,0.0,0.0,0.63,0.0,32.0,185.42000000000002,187.96,Orthodox,4.73,0.57,4.26,0.54,0.46,0.22,0.5,0.0,28.0
2023-08-05,Ludovit Klein,Ignacio Bahamondes,fighter1,Lightweight,170.18,182.88,Southpaw,3.49,0.54,3.53,0.53,1.52,0.45,0.83,0.0,28.0,190.5,190.5,Orthodox,6.97,0.46,4.36,0.57,0.0,0.0,0.85,0.4,26.0
2023-08-05,Kyler Phillips,Raoni Barcelos,fighter1,Bantamweight,172.72,182.88,Orthodox,5.36,0.46,3.36,0.61,2.87,0.46,0.7,0.6,28.0,170.18,170.18,Orthodox,5.38,0.51,5.03,0.61,1.8,0.37,0.9,0.4,36.0
2023-08-05,Jeremiah Wells,Carlston Harris,fighter2,Welterweight,175.26,187.96,Switch,2.52,0.45,1.14,0.47,3.89,0.43,1.0,1.2,37.0,182.88,193.04,Orthodox,2.93,0.49,2.44,0.53,2.05,0.29,0.55,0.8,36.0
