,event_name,event_date,event_location,Weight class,fighter1,fighter2,outcome,Kd,Str,Td,Sub,Method,Round,Time,timestamp
59,UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Welterweight,Vicente Luque,Rafael Dos Anjos,fighter1,0                                  0,72                                  66,8                                  2,0                                  1,U-DEC,5,5:00,2023-09-21 02:02:55.178363
60,UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Featherweight,Cub Swanson,Hakeem Dawodu,fighter1,0                                  0,77                                  95,1                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
61,UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Light Heavyweight,Khalil Rountree Jr.,Chris Daukaus,fighter1,1                                  0,16                                  8,0                                  0,0                                  0,KO/TKO              Punch,1,2:40,2023-09-21 02:02:55.178363
62,UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Women's Strawweight,Iasmin Lucindo,Polyana Viana,fighter1,0                                  0,10                                  10,2                                  1,1                                  0,SUB              Arm Triangle,2,3:42,2023-09-21 02:02:55.178363
63,UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Middleweight,AJ Dobson,Tafon Nchukwi,fighter1,0                                  0,67                                  53,2                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
64,UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Middleweight,Josh Fremd,Jamie Pickett,fighter1,0                                  0,31                                  14,0                                  2,2                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
65,UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Bantamweight,Marcus McGhee,JP Buys,fighter1,1                                  0,7                                  4,0                                  0,0                                  0,KO/TKO              Punch,1,2:19,2023-09-21 02:02:55.178363
66,UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Lightweight,Terrance McKinney,Mike Breeden,fighter1,0                                  0,30                                  1,0                                  0,0                                  0,KO/TKO              Punches,1,1:25,2023-09-21 02:02:55.178363
67,UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Featherweight,Isaac Dulgarian,Francis Marshall,fighter1,0                                  0,35                                  2,1                                  0,0                                  0,KO/TKO              Elbows,1,4:48,2023-09-21 02:02:55.178363
68,UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Heavyweight,Martin Buday,Josh Parisian,fighter1,0                                  0,42                                  26,1                                  0,1                                  0,SUB              Kimura,1,4:11,2023-09-21 02:02:55.178363
