event_name,event_date,weight_class,fighter1,fighter2,method,round,outcome,timestamp
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Bantamweight,Da'Mon Blackshear,Jose Johnson,SUB              Twister,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Women's Flyweight,Luana Santos,Juliana Miller,KO/TKO              Punches,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Catch Weight,Cory Sandhagen,Rob Font,U-DEC,5,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Women's Strawweight,Tatiana Suarez,Jessica Andrade,SUB              Guillotine Choke,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Light Heavyweight,Dustin Jacoby,Kennedy Nzechukwu,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Featherweight,Diego Lopes,Gavin Tucker,SUB              Triangle Armbar,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Light Heavyweight,Tanner Boser,Aleksa Camur,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Lightweight,Ludovit Klein,Ignacio Bahamondes,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Bantamweight,Kyler Phillips,Raoni Barcelos,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Welterweight,Carlston Harris,Jeremiah Wells,SUB              Anaconda Choke,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Featherweight,Billy Quarantillo,Damon Jackson,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Flyweight,Cody Durden,Jake Hadley,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Featherweight,Sean Woodson,Dennis Buzukja,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Flyweight,Assu Almabayev,Ode Osbourne,SUB              Rear Naked Choke,2,fighter1,2023-09-21 02:02:55.178363
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Lightweight,Justin Gaethje,Dustin Poirier,KO/TKO              Kick,2,fighter1,2023-09-21 02:02:55.178363
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Light Heavyweight,Alex Pereira,Jan Blachowicz,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Heavyweight,Derrick Lewis,Marcos Rogerio de Lima,KO/TKO              Punches,1,fighter1,2023-09-21 02:02:55.178363
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Lightweight,Bobby Green,Tony Ferguson,SUB              Arm Triangle,3,fighter1,2023-09-21 02:02:55.178363
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Welterweight,Kevin Holland,Michael Chiesa,SUB              D'Arce Choke,1,fighter1,2023-09-21 02:02:55.178363
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Welterweight,Gabriel Bonfim,Trevin Giles,SUB              Guillotine Choke,1,fighter1,2023-09-21 02:02:55.178363
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Flyweight,CJ Vergara,Vinicius Salvador,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Middleweight,Roman Kopylov,Claudio Ribeiro,KO/TKO              Kick,2,fighter1,2023-09-21 02:02:55.178363
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Welterweight,Jake Matthews,Darrius Flowers,SUB              Rear Naked Choke,2,fighter1,2023-09-21 02:02:55.178363
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Welterweight,Uros Medic,Matthew Semelsberger,KO/TKO              Spinning Back Elbow,3,fighter1,2023-09-21 02:02:55.178363
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Women's Flyweight,Miranda Maverick,Priscila Cachoeira,SUB              Armbar,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Heavyweight,Tom Aspinall,Marcin Tybura,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Women's Flyweight,Julija Stoliarenko,Molly McCann,SUB              Armbar,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Featherweight,Nathaniel Wood,Andre Fili,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Middleweight,Paul Craig,Andre Muniz,KO/TKO              Elbows,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Lightweight,Fares Ziam,Jai Herbert,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Featherweight,Lerone Murphy,Josh Culibao,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Bantamweight,Daniel Marcos,Davey Grant,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Welterweight,Jonny Parsons,Danny Roberts,KO/TKO              Punches,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Lightweight,Joel Alvarez,Marc Diakiese,SUB              D'Arce Choke,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Heavyweight,Mick Parkin,Jamal Pogues,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Middleweight,Makhmud Muradov,Bryan Barberena,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Women's Bantamweight,Ketlen Vieira,Pannie Kianzad,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Lightweight,Chris Duncan,Yanal Ashmouz,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Women's Strawweight,Bruna Brasil,Shauna Bannon,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,Flyweight,Jafel Filho,Daniel Barez,SUB              Arm Triangle,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holm vs. Bueno Silva,2023-07-15,Women's Bantamweight,Mayra Bueno Silva,Holly Holm,SUB              Guillotine Choke,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holm vs. Bueno Silva,2023-07-15,Welterweight,Jack Della Maddalena,Bassil Hafez,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holm vs. Bueno Silva,2023-07-15,Lightweight,Francisco Prado,Ottman Azaitar,KO/TKO              Punches,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holm vs. Bueno Silva,2023-07-15,Middleweight,JunYong Park,Albert Duraev,SUB              Rear Naked Choke,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holm vs. Bueno Silva,2023-07-15,Women's Featherweight,Norma Dumont,Chelsea Chandler,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holm vs. Bueno Silva,2023-07-15,Lightweight,Nazim Sadykhov,Terrance McKinney,SUB              Rear Naked Choke,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holm vs. Bueno Silva,2023-07-15,Featherweight,Melsik Baghdasaryan,Tucker Lutz,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holm vs. Bueno Silva,2023-07-15,Women's Strawweight,Viktoriia Dudakova,Istela Nunes,KO/TKO,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holm vs. Bueno Silva,2023-07-15,Featherweight,Melquizael Costa,Austin Lingo,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holm vs. Bueno Silva,2023-07-15,Lightweight,Evan Elder,Genaro Valdez,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holm vs. Bueno Silva,2023-07-15,Flyweight,Azat Maksum,Tyson Nam,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holm vs. Bueno Silva,2023-07-15,Lightweight,Alexander Munoz,Carl Deaton,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holm vs. Bueno Silva,2023-07-15,Women's Bantamweight,Ailin Perez,Ashlee Evans-Smith,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 290: Volkanovski vs. Rodriguez,2023-07-08,Featherweight,Alexander Volkanovski,Yair Rodriguez,KO/TKO              Punches,3,fighter1,2023-09-21 02:02:55.178363
UFC 290: Volkanovski vs. Rodriguez,2023-07-08,Flyweight,Alexandre Pantoja,Brandon Moreno,S-DEC,5,fighter1,2023-09-21 02:02:55.178363
UFC 290: Volkanovski vs. Rodriguez,2023-07-08,Middleweight,Dricus Du Plessis,Robert Whittaker,KO/TKO              Punches,2,fighter1,2023-09-21 02:02:55.178363
UFC 290: Volkanovski vs. Rodriguez,2023-07-08,Lightweight,Dan Hooker,Jalin Turner,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 290: Volkanovski vs. Rodriguez,2023-07-08,Middleweight,Bo Nickal,Val Woodburn,KO/TKO              Punches,1,fighter1,2023-09-21 02:02:55.178363
UFC 290: Volkanovski vs. Rodriguez,2023-07-08,Welterweight,Robbie Lawler,Niko Price,KO/TKO              Punches,1,fighter1,2023-09-21 02:02:55.178363
UFC 290: Volkanovski vs. Rodriguez,2023-07-08,Catch Weight,Tatsuro Taira,Edgar Chairez,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 290: Volkanovski vs. Rodriguez,2023-07-08,Women's Strawweight,Denise Gomes,Yazmin Jauregui,KO/TKO              Punches,1,fighter1,2023-09-21 02:02:55.178363
UFC 290: Volkanovski vs. Rodriguez,2023-07-08,Light Heavyweight,Alonzo Menifield,Jimmy Crute,SUB              Guillotine Choke,2,fighter1,2023-09-21 02:02:55.178363
UFC 290: Volkanovski vs. Rodriguez,2023-07-08,Light Heavyweight,Vitor Petrino,Marcin Prachnio,SUB              Arm Triangle,3,fighter1,2023-09-21 02:02:55.178363
UFC 290: Volkanovski vs. Rodriguez,2023-07-08,Bantamweight,Cameron Saaiman,Terrence Mitchell,KO/TKO              Punches,1,fighter1,2023-09-21 02:02:55.178363
