,events,odds
100,UFC Fight Night: Font vs. Garbrandt,UFC on Fox 20 - Holm vs. Shevchenko
101,UFC 262: Oliveira vs. Chandler,UFC 201 - Lawler vs. Woodley
102,UFC Fight Night: Rodriguez vs. Waterson,UFC Fight Night 92 - Rodriguez vs. Caceres
103,UFC Fight Night: Reyes vs. Prochazka,UFC 202 - Diaz vs. McGregor 2 
104,UFC 261: Usman vs. Masvidal 2,UFC on Fox 21 - Condit vs. Maia
105,UFC Fight Night: Whittaker vs. Gastelum,UFC Fight Night - Arlovski vs. Barnett
106,UFC Fight Night: Vettori vs. Holland,UFC 203 - Miocic vs. Overeem
107,UFC 260: Miocic vs. Ngannou,UFC Fight Night 94 - Poirier vs. Johnson
108,UFC Fight Night: Brunson vs. Holland,UFC Fight Night 95 - Brasilia
109,UFC Fight Night: Edwards vs. Muhammad,UFC Fight Night 96 - Lineker vs. Dodson
110,UFC 259: Blachowicz vs. Adesanya,UFC 204 - Bisping vs. Henderson 2
111,UFC Fight Night: Rozenstruik vs. Gane,UFC Mexico City
112,UFC Fight Night: Blaydes vs. Lewis,UFC 205 - New York City
113,UFC 258: Usman vs. Burns,UFC Fight Night 99 - Mousasi vs. Hall
114,UFC Fight Night: Overeem vs. Volkov,"UFC Fight Night 100
Bader vs. Nogueira 2"
115,UFC 257: Poirier vs. McGregor,UFC Fight Night 101
116,UFC Fight Night: Chiesa vs. Magny,UFC - The Ultimate Fighter 24 Finale
117,UFC Fight Night: Holloway vs. Kattar,UFC Fight Night 102 Albany
118,UFC Fight Night: Thompson vs. Neal,UFC 206
119,UFC 256: Figueiredo vs. Moreno,UFC on Fox 22
120,UFC Fight Night: Hermansson vs. Vettori,UFC 207
121,UFC Fight Night: Smith vs. Clark,UFC Fight Night 103 Rodriguez vs. Penn
122,UFC 255: Figueiredo vs. Perez,UFC on FOX 23 Shevchenko vs. Pena
123,UFC Fight Night: Felder vs. Dos Anjos,UFC FN 104 K. Zombie vs. Bermudez
124,UFC Fight Night: Santos vs. Teixeira,UFC 208
125,UFC Fight Night: Hall vs. Silva,UFC Fight Night 105 Lewis vs. Browne
126,UFC 254: Khabib vs. Gaethje,UFC 209
127,UFC Fight Night: Ortega vs. The Korean Zombie,UFC Fight Night 106 Belfort vs. Gastelum
128,UFC Fight Night: Moraes vs. Sandhagen,UFC Fight Night 107 Manuwa vs. Anderson
129,UFC Fight Night: Holm vs. Aldana,UFC 210 - Cormier vs. Johnson 2
130,UFC 253: Adesanya vs. Costa,UFC on Fox 24 -  Johnson vs Reis
131,UFC Fight Night: Covington vs. Woodley,UFC Fight Night 108 Swanson vs. Lobov
132,UFC Fight Night: Waterson vs. Hill,UFC 211 - Miocic vs. Dos Santos
133,UFC Fight Night: Overeem vs. Sakai,UFC Fight Night 109 Gustafsson Vs Teixeira
134,UFC Fight Night: Smith vs. Rakic,UFC 212 Aldo vs Holloway
135,UFC Fight Night: Munhoz vs. Edgar,UFC Fight Night 110 Hunt vs. Lewis
136,UFC 252: Miocic vs. Cormier 3,UFC Fight Night 111
137,UFC Fight Night: Lewis vs. Oleinik,UFC Fight Night 112
138,UFC Fight Night: Brunson vs. Shahbazyan,TUF Season 25 Finale
139,UFC Fight Night: Whittaker vs. Till,UFC 213
140,UFC Fight Night: Figueiredo vs. Benavidez 2,UFC Fight Night 113
141,UFC Fight Night: Kattar vs. Ige,UFC on Fox 25
142,UFC 251: Usman vs. Masvidal,UFC Fight Night Struve vs. Volkov
143,UFC Fight Night: Poirier vs. Hooker,UFC 215
144,UFC Fight Night: Blaydes vs. Volkov,UFC Fight Night 116 Rockhold vs. Branch
145,UFC Fight Night: Eye vs. Calvillo,UFC Fight Night 117 St. Preux vs. Shogun 2
146,UFC 250: Nunes vs. Spencer,UFC 216
147,UFC Fight Night: Woodley vs. Burns,UFC Fight Night 118 Gdansk
148,UFC Fight Night: Overeem vs. Harris,UFC 217
149,UFC Fight Night: Smith vs. Teixeira,UFC Fight Night 120 Virginia
150,UFC 249: Ferguson vs. Gaethje,UFC Fight Night 121 Sydney
151,UFC Fight Night: Lee vs. Oliveira,UFC Fight Night 122 Bisping vs. Gastellum
152,UFC 248: Adesanya vs. Romero,TUF 26 Finale
153,UFC Fight Night: Benavidez vs. Figueiredo,UFC Fight Night 123
154,UFC Fight Night: Felder vs. Hooker,UFC on Fox 26 Lawler vs. dos Anjos
155,UFC Fight Night: Anderson vs. Blachowicz,UFC 219
156,UFC 247: Jones vs. Reyes,UFC Fight Night 124
157,UFC Fight Night: Blaydes vs. Dos Santos,UFC 220
158,UFC 246: McGregor vs. Cowboy,UFC on Fox 27
159,UFC Fight Night: Edgar vs. The Korean Zombie,UFC Fight Night 125
160,UFC 245: Usman vs. Covington,UFC 221
161,UFC Fight Night: Overeem vs. Rozenstruik,UFC Fight Night 126
162,UFC Fight Night: Blachowicz vs. Jacare,UFC on Fox 28
163,UFC Fight Night: Zabit vs. Kattar,UFC 222
164,UFC 244: Masvidal vs. Diaz,UFC Fight Night 127
165,UFC Fight Night: Maia vs. Askren,UFC 223
166,UFC Fight Night: Reyes vs. Weidman,UFC on Fox 29
167,UFC Fight Night: Joanna vs. Waterson,UFC Fight Night 128
168,UFC 243: Whittaker vs. Adesanya,UFC 224
169,UFC Fight Night: Hermansson vs. Cannonier,UFC Fight Night 130
170,UFC Fight Night: Rodriguez vs. Stephens,UFC Fight Night 131
171,UFC Fight Night: Cowboy vs. Gaethje,UFC 225
172,UFC 242: Khabib vs. Poirier,UFC Fight Night 132
173,UFC Fight Night: Andrade vs. Zhang,TUF 27 Finale
174,UFC 241: Cormier vs. Miocic 2,UFC 226
175,UFC Fight Night: Shevchenko vs. Carmouche 2,UFC Fight Night 133
176,UFC Fight Night: Covington vs. Lawler,UFC Fight Night 134
177,UFC 240: Holloway vs. Edgar,UFC on Fox 30
178,UFC Fight Night: Dos Anjos vs. Edwards,UFC 227
179,UFC Fight Night: De Randamie vs. Ladd,UFC Fight Night 135
180,UFC 239: Jones vs. Santos,UFC 228
181,UFC Fight Night: Ngannou vs. Dos Santos,UFC FIght Night Moscow
182,UFC Fight Night: Moicano vs. The Korean Zombie,UFC Fight Night Sao Paulo
183,UFC 238: Cejudo vs. Moraes,UFC 229
184,UFC Fight Night: Gustafsson vs. Smith,UFC Fight Night 138
185,UFC Fight Night: Dos Anjos vs. Lee,UFC 230
186,UFC 237: Namajunas vs. Andrade,UFC Fight Night Denver
187,UFC Fight Night: Iaquinta vs. Cowboy,UFC Fight Night 140
188,UFC Fight Night: Jacare vs. Hermansson,UFC Fight Night 141
189,UFC Fight Night: Overeem vs. Oleinik,TUF Finale
190,UFC 236: Holloway vs. Poirier 2,UFC Fight Night 142
191,UFC Fight Night: Barboza vs. Gaethje,UFC 231
192,UFC Fight Night: Thompson vs. Pettis,UFC Fight Night Milwaukee
193,UFC Fight Night: Till vs. Masvidal,UFC 232
194,UFC Fight Night: Lewis vs. Dos Santos,UFC on ESPN+ 1
195,UFC 235: Jones vs. Smith,UFC Fight Night 144
196,UFC Fight Night: Blachowicz vs. Santos,UFC 234
197,UFC Fight Night: Ngannou vs. Velasquez,UFC on ESPN 1
198,UFC 234: Adesanya vs. Silva,UFC Fight Night 145
199,UFC Fight Night: Assuncao vs. Moraes 2,UFC 235
