event_date,weight_class,fighter1,fighter2,outcome
2023-07-15,Featherweight,Melquizael Costa,Austin Lingo,fighter1
2023-07-15,Lightweight,Evan Elder,Genaro Valdez,fighter1
2023-07-15,Flyweight,Azat Maksum,Tyson Nam,fighter1
2023-07-15,Lightweight,Alexander Munoz,Carl Deaton,fighter1
2023-07-15,Women's Bantamweight,Ailin Perez,Ashlee Evans-Smith,fighter1
2023-07-08,Featherweight,Alexander Volkanovski,Yair Rodriguez,fighter1
2023-07-08,Flyweight,Alexandre Pantoja,Brandon Moreno,fighter1
2023-07-08,Middleweight,Dricus Du Plessis,Robert Whittaker,fighter1
2023-07-08,Lightweight,Dan Hooker,Jalin Turner,fighter1
2023-07-08,Middleweight,Bo Nickal,Val Woodburn,fighter1
2023-07-08,Welterweight,Robbie Lawler,Niko Price,fighter1
2023-07-08,Catch Weight,Tatsuro Taira,Edgar Chairez,fighter1
2023-07-08,Women's Strawweight,Denise Gomes,Yazmin Jauregui,fighter1
2023-07-08,Light Heavyweight,Alonzo Menifield,Jimmy Crute,fighter1
2023-07-08,Light Heavyweight,Vitor Petrino,Marcin Prachnio,fighter1
2023-07-08,Bantamweight,Cameron Saaiman,Terrence Mitchell,fighter1
2023-07-08,Flyweight,Jesus Aguilar,Shannon Ross,fighter1
2023-07-08,Lightweight,Esteban Ribovics,Kamuela Kirk,fighter1
2023-07-01,Middleweight,Sean Strickland,Abus Magomedov,fighter1
2023-07-01,Lightweight,Grant Dawson,Damir Ismagulov,fighter1
2023-07-01,Welterweight,Michael Morales,Max Griffin,fighter1
2023-07-01,Women's Flyweight,Ariane Lipski,Melissa Gatto,fighter1
2023-07-01,Lightweight,Benoit Saint Denis,Ismael Bonfim,fighter1
2023-07-01,Middleweight,Nursulton Ruziboev,Brunno Ferreira,fighter1
2023-07-01,Welterweight,Rinat Fakhretdinov,Kevin Lee,fighter1
2023-07-01,Featherweight,Joanderson Brito,Westin Wilson,fighter1
2023-07-01,Women's Featherweight,Karol Rosa,Yana Santos,fighter1
2023-07-01,Lightweight,Elves Brener,Guram Kutateladze,fighter1
2023-07-01,Women's Flyweight,Luana Carolina,Ivana Petrovic,fighter1
2023-07-01,Heavyweight,Alexandr Romanov,Blagoy Ivanov,fighter1
2023-06-24,Featherweight,Ilia Topuria,Josh Emmett,fighter1
2023-06-24,Women's Flyweight,Maycee Barber,Amanda Ribas,fighter1
2023-06-24,Heavyweight,Austen Lane,Justin Tafa,No contest
2023-06-24,Featherweight,David Onama,Gabriel Santos,fighter1
2023-06-24,Middleweight,Brendan Allen,Bruno Silva,fighter1
2023-06-24,Welterweight,Neil Magny,Phil Rowe,fighter1
2023-06-24,Welterweight,Randy Brown,Wellington Turman,fighter1
2023-06-24,Lightweight,Mateusz Rebecki,Loik Radzhabov,fighter1
2023-06-24,Women's Strawweight,Tabatha Ricci,Gillian Robertson,fighter1
2023-06-24,Flyweight,Joshua Van,Zhalgas Zhumagulov,fighter1
2023-06-24,Lightweight,Chepe Mariscal,Trevor Peek,fighter1
2023-06-24,Featherweight,Jack Jenkins,Jamall Emmers,fighter1
2023-06-24,Middleweight,Sedriques Dumas,Cody Brundage,fighter1
2023-06-17,Middleweight,Jared Cannonier,Marvin Vettori,fighter1
2023-06-17,Lightweight,Arman Tsarukyan,Joaquim Silva,fighter1
2023-06-17,Middleweight,Armen Petrosyan,Christian Leroy Duncan,fighter1
2023-06-17,Featherweight,Pat Sabatini,Lucas Almeida,fighter1
2023-06-17,Lightweight,Manuel Torres,Nikolas Motta,fighter1
2023-06-17,Welterweight,Nicolas Dalby,Muslim Salikhov,fighter1
2023-06-17,Flyweight,Alessandro Costa,Jimmy Flick,fighter1
2023-06-17,Bantamweight,Kyung Ho Kang,Cristian Quinonez,fighter1
2023-06-17,Flyweight,Carlos Hernandez,Denys Bondar,fighter1
2023-06-17,Women's Flyweight,Tereza Bleda,Gabriella Fernandes,fighter1
2023-06-17,Bantamweight,Dan Argueta,Ronnie Lawrence,No contest
2023-06-17,Light Heavyweight,Modestas Bukauskas,Zac Pauga,fighter1
2023-06-10,Women's Bantamweight,Amanda Nunes,Irene Aldana,fighter1
2023-06-10,Lightweight,Charles Oliveira,Beneil Dariush,fighter1
2023-06-10,Welterweight,Mike Malott,Adam Fugitt,fighter1
