,event_date,event_name,weight_class,fighter1,fighter2,favourite,underdog,favourite_odds,underdog_odds,outcome,method,round,fighter1_height,fighter1_curr_weight,fighter1_dob,fighter1_reach,fighter1_stance,fighter1_sig_strikes_landed_pm,fighter1_sig_strikes_accuracy,fighter1_sig_strikes_absorbed_pm,fighter1_sig_strikes_defended,fighter1_takedown_avg_per15m,fighter1_takedown_accuracy,fighter1_takedown_defence,fighter1_submission_avg_attempted_per15m,fighter2_height,fighter2_curr_weight,fighter2_dob,fighter2_reach,fighter2_stance,fighter2_sig_strikes_landed_pm,fighter2_sig_strikes_accuracy,fighter2_sig_strikes_absorbed_pm,fighter2_sig_strikes_defended,fighter2_takedown_avg_per15m,fighter2_takedown_accuracy,fighter2_takedown_defence,fighter2_submission_avg_attempted_per15m,events_extract_ts,odds_extract_ts,fighter_extract_ts
20,2023-09-09,UFC 293: Adesanya vs. Strickland,Welterweight,Charles Radtke,Blood Diamond,,,,,fighter1,U-DEC,3,175.26,77.11064,1990-07-09,182.88,Orthodox,2.33,0.46,2.93,0.53,1.0,0.16,1.0,0.0,180.34,77.11064,1988-07-10,193.04,Switch,3.12,0.55,2.17,0.48,0.0,0.0,0.73,0.0,2023-09-21 02:02:55.178363,,2023-09-20 21:50:56.958211
21,2023-09-09,UFC 293: Adesanya vs. Strickland,Featherweight,Gabriel Miranda,Shane Young,Shane Young,Gabriel Miranda,1.62,2.45,fighter1,SUB              Rear Naked Choke,1,180.34,65.77083999999999,1990-03-25,180.34,Orthodox,3.52,0.51,6.88,0.39,4.8,0.4,0.0,2.4,172.72,65.77083999999999,1993-07-31,182.88,Orthodox,5.19,0.4,5.46,0.52,0.63,0.18,0.64,0.0,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
22,2023-09-09,UFC 293: Adesanya vs. Strickland,Welterweight,Kevin Jousset,Kiefer Crosbie,Kevin Jousset,Kiefer Crosbie,1.65,2.45,fighter1,SUB              Rear Naked Choke,1,187.96,77.11064,1993-05-02,190.5,Orthodox,6.02,0.5,8.1,0.33,3.11,1.0,0.0,3.1,180.34,77.11064,1990-04-05,177.8,Switch,8.1,0.66,6.02,0.5,0.0,0.0,0.0,0.0,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
23,2023-09-02,UFC Fight Night: Gane vs. Spivac,Heavyweight,Ciryl Gane,Serghei Spivac,,,,,fighter1,KO/TKO              Punches,2,193.04,111.13004,1990-04-12,205.74,Orthodox,5.49,0.6,2.19,0.63,0.58,0.21,0.5,0.5,190.5,117.93392,1995-01-24,198.12,Orthodox,3.54,0.49,3.79,0.49,4.56,0.64,0.7,0.5,2023-09-21 02:02:55.178363,,2023-09-20 21:50:56.958211
24,2023-09-02,UFC Fight Night: Gane vs. Spivac,Women's Flyweight,Manon Fiorot,Rose Namajunas,Manon Fiorot,Rose Namajunas,1.53,2.65,fighter1,U-DEC,3,170.18,56.699,1990-02-17,165.1,Orthodox,6.05,0.39,3.31,0.69,1.36,0.46,0.91,0.0,165.1,56.699,1992-06-29,165.1,Orthodox,3.68,0.4,3.53,0.62,1.49,0.48,0.6,0.6,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
25,2023-09-02,UFC Fight Night: Gane vs. Spivac,Lightweight,Benoit Saint Denis,Thiago Moises,,,,,fighter1,KO/TKO              Punches,2,180.34,70.30676,1995-12-18,185.42000000000002,Southpaw,5.59,0.52,5.27,0.44,4.72,0.36,0.8,1.4,175.26,70.30676,1995-03-23,177.8,Orthodox,2.47,0.39,4.4,0.54,1.53,0.4,0.56,1.3,2023-09-21 02:02:55.178363,,2023-09-20 21:50:56.958211
26,2023-09-02,UFC Fight Night: Gane vs. Spivac,Light Heavyweight,Volkan Oezdemir,Bogdan Guskov,Volkan Oezdemir,Bogdan Guskov,1.57,2.45,fighter1,SUB              Rear Naked Choke,1,187.96,92.98636,1989-09-19,190.5,Orthodox,4.59,0.47,3.92,0.55,0.57,0.33,0.8,0.1,190.5,92.98636,1992-09-12,193.04,Orthodox,2.12,0.32,6.9,0.43,0.0,0.0,0.0,0.0,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
27,2023-09-02,UFC Fight Night: Gane vs. Spivac,Featherweight,William Gomis,Yanis Ghemmouri,William Gomis,Yanis Ghemmouri,1.52,2.67,fighter1,KO/TKO              Kick,3,182.88,65.77083999999999,1997-06-13,185.42000000000002,Southpaw,2.62,0.46,1.49,0.75,1.06,0.6,0.81,0.7,175.26,65.77083999999999,1995-01-24,175.26,Orthodox,2.27,0.38,4.22,0.4,0.0,0.0,0.0,0.0,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
28,2023-09-02,UFC Fight Night: Gane vs. Spivac,Featherweight,Morgan Charriere,Manolo Zecchini,Morgan Charriere,Manolo Zecchini,1.28,3.97,fighter1,KO/TKO              Kicks,1,172.72,65.77083999999999,1995-10-26,175.26,Orthodox,6.75,0.53,2.34,0.78,0.0,0.0,0.0,0.0,172.72,65.77083999999999,1996-10-22,172.72,Orthodox,2.34,0.21,6.75,0.46,0.0,0.0,0.0,0.0,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
29,2023-09-02,UFC Fight Night: Gane vs. Spivac,Bantamweight,Taylor Lapilus,Caolan Loughran,Taylor Lapilus,Caolan Loughran,1.59,2.45,fighter1,U-DEC,3,167.64000000000001,61.23492,1992-04-08,185.42000000000002,Southpaw,4.18,0.47,2.27,0.62,0.45,0.4,0.81,0.5,167.64000000000001,61.23492,1996-05-18,172.72,Orthodox,3.2,0.36,5.6,0.48,2.0,0.18,0.0,0.0,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
